Year,SeriesID,SeriesDescription,Unnamed: 3,GeoAreaCode,GeoAreaName,TimePeriod,Source,FootNote,Nature,Units,Reporting Type,ISOalpha3,Type,SeriesCode,Value
1993,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1993,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.339675504
1994,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1994,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.344275836
1995,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1995,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.317121569
1996,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1996,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.319994725
1997,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1997,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.366330256
1998,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1998,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.363489
1999,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,1999,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.364201423
2000,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2000,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.372455166
2001,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2001,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.405796102
2002,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2002,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.451202982
2003,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2003,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.494411899
2004,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2004,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.503036139
2005,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2005,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.536202052
2006,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2006,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.571624781
2007,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2007,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.605175066
2008,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2008,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.635406295
2009,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2009,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.643342416
2010,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2010,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.63915835
2011,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2011,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.646160679
2012,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2012,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.664920252
2013,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2013,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.687430506
2014,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2014,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.716041909
2015,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2015,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.752993796
2016,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2016,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.727829041
2017,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2017,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.737627141
2018,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2018,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.7480526
2019,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2019,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.762776244
2020,1753,"Personal remittances, received,  as a proportion of GDP (%)",,1,World,2020,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,0.784552808
1960,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1960,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1961,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1961,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1962,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1962,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1963,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1963,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1964,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1964,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1965,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1965,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1966,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1966,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1967,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1967,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1968,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1968,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1969,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1969,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1970,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1970,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1971,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1971,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1972,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1972,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1973,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1973,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1974,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1974,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1975,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1975,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1976,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1976,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,
1977,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1977,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.577744582
1978,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1978,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.040394969
1979,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1979,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.965211935
1980,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1980,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.83588065
1981,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1981,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.289912419
1982,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1982,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.449077339
1983,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1983,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.957815705
1984,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1984,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.109646591
1985,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1985,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.866473417
1986,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1986,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.718158753
1987,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1987,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.06860598
1988,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1988,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.070757151
1989,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1989,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.005031908
1990,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1990,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.158477893
1991,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1991,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.399036083
1992,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1992,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.916309738
1993,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1993,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.82903401
1994,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1994,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.419321273
1995,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1995,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.024060173
1996,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1996,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.816090001
1997,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1997,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.001082235
1998,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1998,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.973685275
1999,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,1999,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.026006908
2000,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2000,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.829278718
2001,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2001,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.942879485
2002,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2002,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.029789515
2003,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2003,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,1.99081013
2004,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2004,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.104018896
2005,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2005,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.735797831
2006,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2006,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.677352014
2007,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2007,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.693602015
2008,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2008,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.519869467
2009,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2009,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.523135186
2010,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2010,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.6015777
2011,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2011,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.728449777
2012,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2012,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.742578422
2013,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2013,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.588729759
2014,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2014,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.796352589
2015,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2015,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,3.040440273
2016,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2016,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,2.977694986
2017,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2017,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,3.418213638
2018,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2018,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,3.557184887
2019,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2019,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,3.509666522
2020,1753,"Personal remittances, received,  as a proportion of GDP (%)",,2,Africa,2020,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,,Region,BX_TRF_PWKR,3.556452689
1960,1753,"Personal remittances, received,  as a proportion of GDP (%)",,4,Afghanistan,1960,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AFG,Country,BX_TRF_PWKR,
1961,1753,"Personal remittances, received,  as a proportion of GDP (%)",,4,Afghanistan,1961,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AFG,Country,BX_TRF_PWKR,
1962,1753,"Personal remittances, received,  as a proportion of GDP (%)",,4,Afghanistan,1962,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",,G,PERCENT,G,AFG,Country,BX_TRF_PWKR,
